"id","text","category","length","word_count"
"505","Making eye contact during conversations feels uncomfortable","social","59","7"
"506","Certain food textures are difficult for me to handle","sensory","52","9"
"507","I can be very creative when working on things I enjoy","daily_life","53","11"
"508","I like to plan things well in advance","routine","37","8"
"509","I work better with visual aids and written instructions","daily_life","55","9"
"510","My interests tend to be really focused and deep","interests","47","9"
"511","I can spend hours researching topics that fascinate me in school","interests","64","11"
"512","I express emotions differently than neurotypical people","social","55","7"
"513","I prefer having advance notice about changes","general","44","7"
"514","My attention to detail is often an asset","positive","40","8"
"515","I value deep, meaningful relationships at work","daily_life","46","7"
"516","Small talk can be challenging for me","social","36","7"
"517","My focused interests have led to deep expertise in meetings","interests","59","10"
"518","I work better with visual aids and written instructions in public","daily_life","65","11"
"519","The sound of chalk on blackboard is unbearable with family","sensory","58","10"
"520","I need strategies to manage anxiety in new situations","emotional","53","9"
"521","I find certain coping mechanisms very helpful","general","45","7"
"522","I like to plan things well in advance in meetings","routine","49","10"
"523","I can be very creative when working on things I enjoy with family","daily_life","65","13"
"524","My attention to detail is often an asset","positive","40","8"
"525","I can spend hours researching topics that fascinate me at work","interests","62","11"
"526","I enjoy finding patterns and connections in information with friends","general","68","10"
"527","I prefer having advance notice about changes","general","44","7"
"528","Understanding my triggers helps me manage better","general","48","7"
"529","Certain food textures are difficult for me to handle","sensory","52","9"
"530","I love learning detailed information about my interests","interests","55","8"
"531","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"532","I have specific ways I like things to be organized","routine","50","10"
"533","I can be quite creative when working on things I enjoy at home","daily_life","62","13"
"534","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"535","I have a few topics that I find endlessly interesting","interests","53","10"
"536","I can spend hours researching topics that fascinate me","interests","54","9"
"537","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"538","Unexpected changes to my routine are difficult to handle","routine","56","9"
"539","My interests tend to be really focused and deep with family","interests","59","11"
"540","Having a structured schedule helps me function better","routine","53","8"
"541","I like to plan things well in advance","routine","37","8"
"542","Self-advocacy is important for my wellbeing","general","43","6"
"543","I like to plan things well in advance","routine","37","8"
"544","I need strategies to manage anxiety in new situations","emotional","53","9"
"545","I can spend hours researching topics that fascinate me","interests","54","9"
"546","I work best in quiet, organized environments","routine","44","7"
"547","I love learning detailed information about my interests with family","interests","67","10"
"548","Large social gatherings can feel overwhelming","social","45","6"
"549","I appreciate honesty and direct communication","general","45","6"
"550","I appreciate honesty and direct communication","general","45","6"
"551","The sound of chalk on blackboard is unbearable during events","sensory","60","10"
"552","I notice details that others might miss","general","39","7"
"553","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"554","I love the feeling of soft blankets and weighted materials at work","daily_life","66","12"
"555","Having a structured schedule helps me function better with family","routine","65","10"
"556","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"557","I love the feeling of soft blankets and weighted materials","general","58","10"
"558","I express emotions differently than neurotypical people","social","55","7"
"559","I prefer having deep conversations about specific topics","social","56","8"
"560","I feel more comfortable with written communication","general","50","7"
"561","I find comfort in familiar places and activities","general","48","8"
"562","I'm very reliable when I understand expectations","general","48","7"
"563","I appreciate when people are direct and clear in communication with friends","social","75","12"
"564","Making eye contact during conversations feels uncomfortable at home","social","67","9"
"565","I appreciate when people are direct and clear in communication in school","social","72","12"
"566","I can be extremely dedicated to causes I believe in at home","general","59","12"
"567","I notice patterns and details that can be really useful in meetings","general","67","12"
"568","Changes in plans can cause me significant stress in public","routine","58","10"
"569","I bring a unique perspective to problems","general","40","7"
"570","I have specific ways I like things to be organized in public","routine","60","12"
"571","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"572","Understanding my triggers helps me manage better","general","48","7"
"573","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"574","I prefer consistency in my work and living environment","daily_life","54","9"
"575","I love learning detailed information about my interests","interests","55","8"
"576","I sometimes miss social cues that others pick up easily in public","social","65","12"
"577","I prefer having advance notice about changes","general","44","7"
"578","Bright lights in stores can be overwhelming for me in meetings","sensory","62","11"
"579","I wear noise-canceling headphones in crowded places with friends","general","64","9"
"580","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"581","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"582","I can be very creative when working on things I enjoy at work","daily_life","61","13"
"583","I'm often very thorough in my work in meetings","daily_life","46","9"
"584","Bright lights in stores can be overwhelming for me with friends","sensory","63","11"
"585","I benefit from having quiet spaces to calm down","emotional","47","9"
"586","The sound of chalk on blackboard is unbearable","sensory","46","8"
"587","I appreciate clear instructions and expectations","daily_life","48","6"
"588","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"589","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"590","I find comfort in familiar places and activities","general","48","8"
"591","I like to plan things well in advance during events","routine","51","10"
"592","I appreciate honesty and direct communication with family","general","57","8"
"593","My attention to detail is often an asset at home","positive","48","10"
"594","I appreciate honesty and direct communication","general","45","6"
"595","I prefer having deep conversations about specific topics with friends","social","69","10"
"596","I appreciate clear instructions and expectations in meetings","daily_life","60","8"
"597","I need extra time to process complex information in school","daily_life","58","10"
"598","I need extra time to process complex information","daily_life","48","8"
"599","I have specific ways I like things to be organized in meetings","routine","62","12"
"600","I love the feeling of soft blankets and weighted materials at work","daily_life","66","12"
"601","Having a structured schedule helps me function better","routine","53","8"
"602","I have specific ways I like things to be organized","routine","50","10"
"603","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"604","I wear noise-canceling headphones in crowded places with friends","general","64","9"
"605","I love learning detailed information about my interests at home","interests","63","10"
"606","I bring a unique perspective to problems","general","40","7"
"607","Processing emotions takes time and energy for me","daily_life","48","8"
"608","My interests tend to be very focused and deep","interests","45","9"
"609","The sound of chalk on blackboard is unbearable","sensory","46","8"
"610","My interests tend to be very focused and deep","interests","45","9"
"611","I can be very creative when working on things I enjoy","daily_life","53","11"
"612","I need time to process what people say before responding","social","56","10"
"613","I prefer consistency in my work and living environment in public","daily_life","64","11"
"614","I prefer having deep conversations about specific topics","social","56","8"
"615","Self-advocacy is important for my wellbeing with friends","general","56","8"
"616","I feel most comfortable when I have a predictable routine","routine","57","10"
"617","I enjoy finding patterns and connections in information","general","55","8"
"618","I like to organize things in specific ways in school","routine","52","10"
"619","I prefer consistent lighting and avoid flickering bulbs in public","sensory","65","10"
"620","Sudden schedule changes can ruin my whole day","routine","45","8"
"621","I love learning detailed information about my interests at home","interests","63","10"
"622","I feel most comfortable when I have a predictable routine at work","routine","65","12"
"623","I enjoy sharing knowledge about subjects I'm passionate about during events","interests","75","11"
"624","Bright lights in stores can be overwhelming for me","sensory","50","9"
"625","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"626","I like to organize things in specific ways during events","routine","56","10"
"627","Group conversations are harder to follow than one-on-one in public","social","66","10"
"628","Making eye contact during conversations feels uncomfortable","social","59","7"
"629","I notice details that others might miss","general","39","7"
"630","Self-advocacy is important for my wellbeing with family","general","55","8"
"631","Processing emotions takes time and energy for me","daily_life","48","8"
"632","I sometimes miss social cues that others pick up easily","social","55","10"
"633","Having a structured schedule helps me function better","routine","53","8"
"634","Making eye contact during conversations feels uncomfortable","social","59","7"
"635","Processing emotions takes time and energy for me at home","daily_life","56","10"
"636","I express emotions differently than neurotypical people at work","social","63","9"
"637","I like to collect information and facts about my favorite subjects","interests","66","11"
"638","I prefer to know what to expect in new situations","general","49","10"
"639","I appreciate honesty and direct communication","general","45","6"
"640","I need extra time to process complex information","daily_life","48","8"
"641","I prefer consistency in my work and living environment in public","daily_life","64","11"
"642","Large social gatherings can feel overwhelming","social","45","6"
"643","The sound of chalk on blackboard is unbearable","sensory","46","8"
"644","I find multitasking challenging and prefer focusing on one thing","general","64","10"
"645","I process information differently than many people","social","50","7"
"646","I prefer consistent lighting and avoid flickering bulbs in school","sensory","65","10"
"647","Making eye contact during conversations feels uncomfortable during events","social","73","9"
"648","I notice patterns and details that can be really useful","general","55","10"
"649","Processing emotions takes time and energy for me during events","daily_life","62","10"
"650","I'm often very thorough in my work","daily_life","34","7"
"651","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"652","I need time to process what people say before responding","social","56","10"
"653","I can talk for hours about topics that interest me with friends","social","63","12"
"654","Sudden schedule changes can ruin my whole day at work","routine","53","10"
"655","Making eye contact during conversations feels uncomfortable","social","59","7"
"656","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"657","I love the feeling of soft blankets and weighted materials","general","58","10"
"658","I need extra time to process complex information","daily_life","48","8"
"659","Bright lights in stores can be overwhelming for me","sensory","50","9"
"660","Self-advocacy is important for my wellbeing","general","43","6"
"661","I find multitasking challenging and prefer focusing on one thing at home","general","72","12"
"662","I can talk for hours about topics that interest me","social","50","10"
"663","Stress affects me more intensely than it seems to affect others with friends","emotional","76","13"
"664","I find comfort in familiar places and activities","general","48","8"
"665","I appreciate when others show genuine interest in what I enjoy in school","interests","72","13"
"666","Understanding my triggers helps me manage better","general","48","7"
"667","Small talk can be challenging for me","social","36","7"
"668","I'm extremely reliable when I understand expectations","general","53","7"
"669","I work best in quiet, organized environments","routine","44","7"
"670","Processing emotions takes time and energy for me at work","daily_life","56","10"
"671","My interests tend to be really focused and deep","interests","47","9"
"672","I appreciate clear instructions and expectations","daily_life","48","6"
"673","I can be very creative when working on things I enjoy","daily_life","53","11"
"674","Group conversations are harder to follow than one-on-one","social","56","8"
"675","I feel more comfortable with written communication","general","50","7"
"676","I appreciate patience from others when I'm overwhelmed in meetings","emotional","66","10"
"677","Social situations require a lot of mental energy in school","social","58","10"
"678","I value deep, meaningful relationships in school","general","48","7"
"679","I notice patterns and details that can be really useful at work","daily_life","63","12"
"680","I wear noise-canceling headphones in crowded places","general","51","7"
"681","My attention to detail is often an asset","positive","40","8"
"682","I prefer consistency in my work and living environment in school","daily_life","64","11"
"683","I notice patterns and details that can be extremely useful at work","daily_life","66","12"
"684","Social situations require a lot of mental energy","social","48","8"
"685","My interests tend to be very focused and deep","interests","45","9"
"686","Changes in plans can cause me significant stress during events","routine","62","10"
"687","I need strategies to manage anxiety in new situations","emotional","53","9"
"688","Understanding my triggers helps me manage better","general","48","7"
"689","I enjoy repetitive tactile sensations like fidget toys with friends","general","67","10"
"690","My focused interests have led to deep expertise","interests","47","8"
"691","I appreciate when others show genuine interest in what I enjoy with family","interests","74","13"
"692","I notice details that others might miss","general","39","7"
"693","Group conversations are harder to follow than one-on-one","social","56","8"
"694","I express emotions differently than neurotypical people in public","social","65","9"
"695","I appreciate clear instructions and expectations","daily_life","48","6"
"696","I need time to process what people say before responding at home","social","64","12"
"697","Processing emotions takes time and energy for me","daily_life","48","8"
"698","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"699","I need time to process what people say before responding","social","56","10"
"700","I notice details that others might miss","general","39","7"
"701","I process information differently than many people","social","50","7"
"702","I value deep, meaningful relationships","general","38","5"
"703","My interests tend to be very focused and deep in meetings","interests","57","11"
"704","Bright lights in stores can be overwhelming for me","sensory","50","9"
"705","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"706","I like to plan things well in advance in meetings","routine","49","10"
"707","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"708","I prefer to know what to expect in new situations","general","49","10"
"709","Understanding my triggers helps me manage better during events","general","62","9"
"710","I feel more comfortable with written communication","general","50","7"
"711","Understanding my triggers helps me manage better","general","48","7"
"712","I enjoy repetitive tactile sensations like fidget toys at home","general","62","10"
"713","Social situations require a lot of mental energy","social","48","8"
"714","Self-advocacy is important for my wellbeing","general","43","6"
"715","I enjoy repetitive tactile sensations like fidget toys in school","general","64","10"
"716","Bright lights in stores can be overwhelming for me","sensory","50","9"
"717","I need strategies to manage anxiety in new situations","emotional","53","9"
"718","I like to plan things well in advance","routine","37","8"
"719","I'm quite reliable when I understand expectations","general","49","7"
"720","My attention to detail is often an asset at home","positive","48","10"
"721","I prefer having advance notice about changes in meetings","general","56","9"
"722","Bright lights in stores can be overwhelming for me","sensory","50","9"
"723","I appreciate when people are direct and clear in communication","social","62","10"
"724","I prefer consistent lighting and avoid flickering bulbs during events","sensory","69","10"
"725","I appreciate clear instructions and expectations in meetings","daily_life","60","8"
"726","Making eye contact during conversations feels uncomfortable with friends","social","72","9"
"727","I love the feeling of soft blankets and weighted materials at work","daily_life","66","12"
"728","I like to collect information and facts about my favorite subjects","interests","66","11"
"729","I'm very reliable when I understand expectations at home","general","56","9"
"730","I'm very reliable when I understand expectations","general","48","7"
"731","I enjoy repetitive tactile sensations like fidget toys in public","general","64","10"
"732","I value deep, meaningful relationships","general","38","5"
"733","I'm really reliable when I understand expectations in school","general","60","9"
"734","I bring a unique perspective to problems","general","40","7"
"735","I notice patterns and details that can be really useful","general","55","10"
"736","I need strategies to manage anxiety in new situations","emotional","53","9"
"737","I value deep, meaningful relationships","general","38","5"
"738","I benefit from having quiet spaces to calm down","emotional","47","9"
"739","I wear noise-canceling headphones in crowded places","general","51","7"
"740","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"741","Bright lights in stores can be overwhelming for me","sensory","50","9"
"742","The sound of chalk on blackboard is unbearable","sensory","46","8"
"743","I need extra time to process complex information","daily_life","48","8"
"744","Learning about my special interests brings me joy","interests","49","8"
"745","I prefer to know what to expect in new situations in meetings","general","61","12"
"746","I wear noise-canceling headphones in crowded places","general","51","7"
"747","My attention to detail is often an asset in school","positive","50","10"
"748","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"749","I prefer consistent lighting and avoid flickering bulbs in school","sensory","65","10"
"750","I prefer having deep conversations about specific topics with friends","social","69","10"
"751","Loud unexpected sounds make me feel anxious and stressed in school","sensory","66","11"
"752","Learning about my special interests brings me joy","interests","49","8"
"753","The sound of chalk on blackboard is unbearable","sensory","46","8"
"754","I feel more comfortable with written communication at work","daily_life","58","9"
"755","I feel more comfortable with written communication","general","50","7"
"756","I feel more comfortable with written communication with family","general","62","9"
"757","My focused interests have led to deep expertise","interests","47","8"
"758","My attention to detail is often an asset","positive","40","8"
"759","Having a structured schedule helps me function better with family","routine","65","10"
"760","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"761","Large social gatherings can feel overwhelming","social","45","6"
"762","I work best in quiet, organized environments during events","routine","58","9"
"763","I need extra time to process complex information with friends","daily_life","61","10"
"764","Certain food textures are difficult for me to handle at work","sensory","60","11"
"765","My focused interests have led to deep expertise","interests","47","8"
"766","I need extra time to process complex information with family","daily_life","60","10"
"767","I love learning detailed information about my interests","interests","55","8"
"768","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"769","I appreciate when people are direct and clear in communication","social","62","10"
"770","Sudden schedule changes can ruin my whole day with family","routine","57","10"
"771","My attention to detail is often an asset","positive","40","8"
"772","I express emotions differently than neurotypical people","social","55","7"
"773","I appreciate clear instructions and expectations in meetings","daily_life","60","8"
"774","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"775","Processing emotions takes time and energy for me","daily_life","48","8"
"776","Learning about my special interests brings me joy","interests","49","8"
"777","Learning about my special interests brings me joy","interests","49","8"
"778","I prefer consistency in my work and living environment","daily_life","54","9"
"779","Bright lights in stores can be overwhelming for me during events","sensory","64","11"
"780","I prefer consistency in my work and living environment","daily_life","54","9"
"781","I'm very reliable when I understand expectations at home","general","56","9"
"782","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"783","I benefit from having quiet spaces to calm down","emotional","47","9"
"784","I enjoy repetitive tactile sensations like fidget toys with family","general","66","10"
"785","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"786","I like to organize things in specific ways","routine","42","8"
"787","I prefer consistency in my work and living environment in meetings","daily_life","66","11"
"788","Unexpected changes to my routine are difficult to handle","routine","56","9"
"789","I prefer to know what to expect in new situations during events","general","63","12"
"790","Learning about my special interests brings me joy","interests","49","8"
"791","Unexpected changes to my routine are difficult to handle","routine","56","9"
"792","I can be really dedicated to causes I believe in","general","48","10"
"793","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"794","The sound of chalk on blackboard is unbearable during events","sensory","60","10"
"795","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"796","Small talk can be challenging for me","social","36","7"
"797","I like to plan things well in advance","routine","37","8"
"798","Learning about my special interests brings me joy","interests","49","8"
"799","Bright lights in stores can be overwhelming for me at home","sensory","58","11"
"800","I have specific ways I like things to be organized","routine","50","10"
"801","I notice patterns and details that can be really useful","general","55","10"
"802","I like to plan things well in advance at home","routine","45","10"
"803","I can spend hours researching topics that fascinate me","interests","54","9"
"804","I bring a unique perspective to problems","general","40","7"
"805","I appreciate clear instructions and expectations with friends","daily_life","61","8"
"806","Changes in plans can cause me significant stress","routine","48","8"
"807","I love learning detailed information about my interests","interests","55","8"
"808","I sometimes miss social cues that others pick up easily","social","55","10"
"809","My attention to detail is often an asset","positive","40","8"
"810","The sound of chalk on blackboard is unbearable","sensory","46","8"
"811","I need extra time to process complex information during events","daily_life","62","10"
"812","Self-advocacy is important for my wellbeing","general","43","6"
"813","I need time to process what people say before responding","social","56","10"
"814","I can be extremely dedicated to causes I believe in","general","51","10"
"815","I benefit from having quiet spaces to calm down","emotional","47","9"
"816","I can be very creative when working on things I enjoy with friends","daily_life","66","13"
"817","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"818","I appreciate clear instructions and expectations during events","daily_life","62","8"
"819","I prefer having advance notice about changes at home","general","52","9"
"820","I love the feeling of soft blankets and weighted materials","general","58","10"
"821","I bring a unique perspective to problems with family","general","52","9"
"822","I love learning detailed information about my interests","interests","55","8"
"823","I like to collect information and facts about my favorite subjects with friends","interests","79","13"
"824","I value deep, meaningful relationships in meetings","general","50","7"
"825","My focused interests have led to deep expertise","interests","47","8"
"826","I enjoy finding patterns and connections in information","general","55","8"
"827","I find certain coping mechanisms very helpful","general","45","7"
"828","My focused interests have led to deep expertise","interests","47","8"
"829","I like to plan things well in advance","routine","37","8"
"830","I express emotions differently than neurotypical people in public","social","65","9"
"831","I prefer having advance notice about changes","general","44","7"
"832","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"833","Understanding my triggers helps me manage better","general","48","7"
"834","I appreciate when people are direct and clear in communication","social","62","10"
"835","My interests tend to be very focused and deep","interests","45","9"
"836","I wear noise-canceling headphones in crowded places","general","51","7"
"837","I find certain coping mechanisms very helpful","general","45","7"
"838","I process information differently than many people","social","50","7"
"839","Bright lights in stores can be overwhelming for me","sensory","50","9"
"840","I can talk for hours about topics that interest me","social","50","10"
"841","Bright lights in stores can be overwhelming for me","sensory","50","9"
"842","I prefer having deep conversations about specific topics","social","56","8"
"843","I feel more comfortable with written communication","general","50","7"
"844","I like to plan things well in advance in public","routine","47","10"
"845","I value deep, meaningful relationships","general","38","5"
"846","I notice patterns and details that can be really useful in public","general","65","12"
"847","I like to plan things well in advance at home","routine","45","10"
"848","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"849","I need extra time to process complex information","daily_life","48","8"
"850","I value deep, meaningful relationships","general","38","5"
"851","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"852","I'm very reliable when I understand expectations","general","48","7"
"853","I have specific ways I like things to be organized","routine","50","10"
"854","I appreciate when people are direct and clear in communication","social","62","10"
"855","Sudden schedule changes can ruin my whole day","routine","45","8"
"856","I like to collect information and facts about my favorite subjects","interests","66","11"
"857","I love the feeling of soft blankets and weighted materials at work","daily_life","66","12"
"858","I find multitasking challenging and prefer focusing on one thing","general","64","10"
"859","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"860","The texture of certain fabrics really bothers me, especially wool and rough materials with friends","sensory","98","15"
"861","I notice details that others might miss with friends","general","52","9"
"862","I'm very reliable when I understand expectations","general","48","7"
"863","I like to plan things well in advance at work","routine","45","10"
"864","Self-advocacy is important for my wellbeing","general","43","6"
"865","Stress affects me more intensely than it seems to affect others with family","emotional","75","13"
"866","My attention to detail is often an asset","positive","40","8"
"867","Making eye contact during conversations feels uncomfortable","social","59","7"
"868","I'm very reliable when I understand expectations in meetings","general","60","9"
"869","I can talk for hours about topics that interest me during events","social","64","12"
"870","I find multitasking challenging and prefer focusing on one thing","general","64","10"
"871","I process information differently than many people","social","50","7"
"872","I appreciate patience from others when I'm overwhelmed in meetings","emotional","66","10"
"873","Unexpected changes to my routine are difficult to handle","routine","56","9"
"874","My interests tend to be very focused and deep in public","interests","55","11"
"875","My focused interests have led to deep expertise","interests","47","8"
"876","I need time to process what people say before responding in public","social","66","12"
"877","I benefit from having quiet spaces to calm down at work","daily_life","55","11"
"878","Changes in plans can cause me significant stress","routine","48","8"
"879","Processing emotions takes time and energy for me","daily_life","48","8"
"880","I feel most comfortable when I have a predictable routine during events","routine","71","12"
"881","I prefer consistency in my work and living environment at work","daily_life","62","11"
"882","I enjoy sharing knowledge about subjects I'm passionate about with family","interests","73","11"
"883","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"884","I appreciate honesty and direct communication","general","45","6"
"885","I'm often very thorough in my work","daily_life","34","7"
"886","Understanding my triggers helps me manage better","general","48","7"
"887","I like to plan things well in advance","routine","37","8"
"888","I feel more comfortable with written communication","general","50","7"
"889","I appreciate when people are direct and clear in communication","social","62","10"
"890","I have specific ways I like things to be organized","routine","50","10"
"891","I notice details that others might miss","general","39","7"
"892","I can be very creative when working on things I enjoy","daily_life","53","11"
"893","Processing emotions takes time and energy for me in school","daily_life","58","10"
"894","I'm often very thorough in my work","daily_life","34","7"
"895","I appreciate honesty and direct communication","general","45","6"
"896","I appreciate when people are direct and clear in communication","social","62","10"
"897","Social situations require a lot of mental energy","social","48","8"
"898","I need time to process what people say before responding","social","56","10"
"899","I feel most comfortable when I have a predictable routine during events","routine","71","12"
"900","Changes in plans can cause me significant stress","routine","48","8"
"901","I express emotions differently than neurotypical people","social","55","7"
"902","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"903","I prefer having advance notice about changes at work","daily_life","52","9"
"904","I process information differently than many people","social","50","7"
"905","I sometimes miss social cues that others pick up easily","social","55","10"
"906","Having a structured schedule helps me function better","routine","53","8"
"907","Bright lights in stores can be overwhelming for me","sensory","50","9"
"908","I have specific ways I like things to be organized in public","routine","60","12"
"909","I need strategies to manage anxiety in new situations","emotional","53","9"
"910","Unexpected changes to my routine are difficult to handle at work","routine","64","11"
"911","My focused interests have led to deep expertise","interests","47","8"
"912","Stress affects me more intensely than it seems to affect others at work","daily_life","71","13"
"913","I prefer having deep conversations about specific topics","social","56","8"
"914","I need extra time to process complex information at work","daily_life","56","10"
"915","I can spend hours researching topics that fascinate me","interests","54","9"
"916","I benefit from having quiet spaces to calm down","emotional","47","9"
"917","Loud unexpected sounds make me feel anxious and stressed in meetings","sensory","68","11"
"918","I prefer consistent lighting and avoid flickering bulbs with friends","sensory","68","10"
"919","I find certain coping mechanisms really helpful","general","47","7"
"920","I notice details that others might miss","general","39","7"
"921","I'm often very thorough in my work","daily_life","34","7"
"922","I enjoy repetitive tactile sensations like fidget toys","general","54","8"
"923","Processing emotions takes time and energy for me with friends","daily_life","61","10"
"924","Small talk can be challenging for me with friends","social","49","9"
"925","Sudden schedule changes can ruin my whole day in meetings","routine","57","10"
"926","I need quiet time to recharge after social activities","social","53","9"
"927","I need time to process what people say before responding","social","56","10"
"928","Large social gatherings can feel overwhelming","social","45","6"
"929","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"930","My interests tend to be very focused and deep in meetings","interests","57","11"
"931","Group conversations are harder to follow than one-on-one","social","56","8"
"932","I value deep, meaningful relationships","general","38","5"
"933","I like to organize things in specific ways in public","routine","52","10"
"934","Social situations require a lot of mental energy","social","48","8"
"935","Understanding my triggers helps me manage better","general","48","7"
"936","Having a structured schedule helps me function better in school","routine","63","10"
"937","I can spend hours researching topics that fascinate me","interests","54","9"
"938","I bring a unique perspective to problems at work","daily_life","48","9"
"939","I enjoy sharing knowledge about subjects I'm passionate about with friends","interests","74","11"
"940","Self-advocacy is important for my wellbeing at work","daily_life","51","8"
"941","I express emotions differently than neurotypical people","social","55","7"
"942","My attention to detail is often an asset","positive","40","8"
"943","I sometimes miss social cues that others pick up easily","social","55","10"
"944","Sometimes I need breaks to prevent feeling overwhelmed at home","emotional","62","10"
"945","Social situations require a lot of mental energy","social","48","8"
"946","Group conversations are harder to follow than one-on-one","social","56","8"
"947","Stress affects me more intensely than it seems to affect others during events","emotional","77","13"
"948","I appreciate clear instructions and expectations","daily_life","48","6"
"949","Small talk can be challenging for me","social","36","7"
"950","I have a few topics that I find endlessly interesting","interests","53","10"
"951","Small talk can be challenging for me","social","36","7"
"952","I appreciate when people are direct and clear in communication","social","62","10"
"953","I need time to process what people say before responding","social","56","10"
"954","I like to collect information and facts about my favorite subjects in school","interests","76","13"
"955","I have specific ways I like things to be organized at home","routine","58","12"
"956","Processing emotions takes time and energy for me with family","daily_life","60","10"
"957","Processing emotions takes time and energy for me","daily_life","48","8"
"958","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"959","Changes in plans can cause me significant stress","routine","48","8"
"960","Unexpected changes to my routine are difficult to handle in school","routine","66","11"
"961","I need strategies to manage anxiety in new situations","emotional","53","9"
"962","I enjoy repetitive tactile sensations like fidget toys","general","54","8"
"963","I need strategies to manage anxiety in new situations at home","emotional","61","11"
"964","I appreciate when others show genuine interest in what I enjoy at home","interests","70","13"
"965","I appreciate clear instructions and expectations","daily_life","48","6"
"966","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"967","I like to collect information and facts about my favorite subjects","interests","66","11"
"968","I like to plan things well in advance","routine","37","8"
"969","I appreciate clear instructions and expectations","daily_life","48","6"
"970","I find multitasking challenging and prefer focusing on one thing in school","general","74","12"
"971","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"972","Social situations require a lot of mental energy","social","48","8"
"973","Learning about my special interests brings me joy","interests","49","8"
"974","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"975","I enjoy finding patterns and connections in information","general","55","8"
"976","I find multitasking challenging and prefer focusing on one thing at work","daily_life","72","12"
"977","I value deep, meaningful relationships","general","38","5"
"978","I love the feeling of soft blankets and weighted materials","general","58","10"
"979","I express emotions differently than neurotypical people","social","55","7"
"980","I have specific ways I like things to be organized","routine","50","10"
"981","I appreciate when people are direct and clear in communication","social","62","10"
"982","Making eye contact during conversations feels uncomfortable in school","social","69","9"
"983","I appreciate honesty and direct communication at home","general","53","8"
"984","Changes in plans can cause me significant stress during events","routine","62","10"
"985","I like to organize things in specific ways","routine","42","8"
"986","Sudden schedule changes can ruin my whole day in meetings","routine","57","10"
"987","Making eye contact during conversations feels uncomfortable in meetings","social","71","9"
"988","I need quiet time to recharge after social activities at home","social","61","11"
"989","I enjoy sharing knowledge about subjects I'm passionate about at home","interests","69","11"
"990","Bright lights in stores can be overwhelming for me in school","sensory","60","11"
"991","Changes in plans can cause me significant stress with family","routine","60","10"
"992","I prefer having deep conversations about specific topics","social","56","8"
"993","The sound of chalk on blackboard is unbearable with friends","sensory","59","10"
"994","I'm very reliable when I understand expectations","general","48","7"
"995","I can spend hours researching topics that fascinate me with family","interests","66","11"
"996","I bring a unique perspective to problems with friends","general","53","9"
"997","Bright lights in stores can be overwhelming for me","sensory","50","9"
"998","Sudden schedule changes can ruin my whole day","routine","45","8"
"999","Processing emotions takes time and energy for me","daily_life","48","8"
"1000","Group conversations are harder to follow than one-on-one","social","56","8"
"1001","I can be extremely dedicated to causes I believe in","general","51","10"
"1002","I can talk for hours about topics that interest me","social","50","10"
"1003","Changes in plans can cause me significant stress with family","routine","60","10"
"1004","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
